threshold_deg,cue_delay_s,cooldown_s,cue_strength,base_pattern,mean_error_deg,bad_posture_percent,number_of_cues,total_comfort_penalty,mean_pressure_kpa,max_pressure_kpa,norm_mean_error_deg,norm_bad_posture_percent,norm_number_of_cues,norm_total_comfort_penalty,overall_score_lower_is_better
7,1.0,4,1.3,pulse,5.760808961305948,81.77777777777779,37,6.298267405937565,0.1749518723871546,3.121032661799397,0.41550169457895314,0.3914285714285716,0.5128205128205128,0.4469783744272801,0.4206960069551028
6,1.0,3,1.3,pulse,4.751423541204519,81.0,49,8.321571290195408,0.23115475806098357,3.1278105149518742,0.1897279399849049,0.3514285714285712,0.8205128205128205,0.6692507871122847,0.4214762816128223
8,0.5,4,1.6,wave,5.322944600727133,81.5,37,7.762463555854126,0.2156239876626146,3.841270968368489,0.317562613310207,0.37714285714285695,0.5128205128205128,0.6078293535699536,0.4219528610378794
7,0.5,8,1.3,wave,7.731381107396095,82.05555555555556,19,3.231121202192828,0.08975336672757855,3.1200002599673136,0.8562683861332236,0.4057142857142856,0.05128205128205128,0.11003344387669131,0.4237734190082778
6,1.0,4,1.3,wave,5.6710496822793335,81.88888888888889,38,6.463744814794416,0.17954846707762265,3.121032661799397,0.39542483490580954,0.39714285714285674,0.5384615384615384,0.4651570885579885,0.4244480659984895
7,0.5,6,1.6,wave,6.436783354684647,82.66666666666667,25,5.244562259615577,0.14568228498932156,3.8400182245272254,0.5666999125869043,0.43714285714285717,0.20512820512820512,0.3312223641937984,0.425146557212592
8,2.0,3,1.6,pulse,4.981366564800588,79.38888888888889,47,9.863458792169597,0.2739849664491554,3.8496129414792297,0.24116032522262268,0.2685714285714282,0.7692307692307693,0.8386366405271654,0.42579762919130837
6,1.0,6,1.6,wave,6.169072462127019,83.38888888888889,25,5.2450081618269175,0.1456946711618588,3.8400182245272254,0.5068198190618899,0.4742857142857139,0.20512820512820512,0.3312713493023169,0.42690061656732764
8,1.0,8,1.0,pulse,7.655753127428865,83.11111111111111,19,2.4913462273509146,0.06920406187085874,2.4000001999748566,0.8393523373677785,0.45999999999999996,0.05128205128205128,0.02876459949723471,0.4277192093695966
8,0.5,4,1.3,pulse,6.063614182668586,81.44444444444444,37,6.306337072571188,0.1751760297936441,3.121032661799397,0.48323149369855517,0.374285714285714,0.5128205128205128,0.4478648770857164,0.4300914715524046
6,0.5,6,1.6,wave,6.245089791513284,83.44444444444444,25,5.245725588139148,0.1457145996705319,3.8400182245272254,0.5238229553544915,0.47714285714285687,0.20512820512820512,0.331350163008248,0.4324528776673786
5,1.0,4,1.0,pulse,6.022974895371639,82.88888888888889,38,4.896147921050618,0.13600410891807274,2.4007943552303055,0.47414152242065016,0.4485714285714282,0.5384615384615384,0.29294689986566563,0.43282805728159224
7,0.5,4,1.0,pulse,6.008416014847718,83.0,38,4.966333447727857,0.13795370688132938,2.4007943552303055,0.47088507245306355,0.45428571428571407,0.5384615384615384,0.30065721291922853,0.4361274359718368
5,1.0,4,1.6,wave,4.936404180051071,83.11111111111111,37,7.7640262879580435,0.2156673968877234,3.841270968368489,0.23110338738872718,0.45999999999999996,0.5128205128205128,0.6080010293314745,0.43765810399552796
6,0.5,6,1.3,pulse,6.408101399945132,83.94444444444444,26,4.427299411353796,0.12298053920427211,3.120014807428371,0.5602844913992413,0.5028571428571426,0.23076923076923078,0.2414409989256757,0.4377219599975827
7,2.0,8,1.3,wave,7.728688006062026,82.77777777777777,19,3.2167538701705456,0.08935427417140403,3.1200002599673136,0.8556660081043892,0.44285714285714234,0.05128205128205128,0.10845510382738593,0.44002144220549366
7,1.0,8,1.0,wave,7.007773009251064,85.27777777777777,19,2.491802975938293,0.06921674933161925,2.4000001999748566,0.6944157241872587,0.571428571428571,0.05128205128205128,0.028814776147068174,0.4416379485472903
6,0.5,4,1.3,pulse,5.31756492226051,83.5,38,6.478654601432668,0.1799626278175741,3.121032661799397,0.3163593165498911,0.4799999999999998,0.5384615384615384,0.46679502059305616,0.4422949871022378
7,2.0,3,1.6,pulse,4.78474390029785,80.38888888888889,48,9.959102002243224,0.276641722284534,3.8496129414792297,0.19718085383437114,0.3199999999999996,0.7948717948717948,0.8491436371406779,0.44261112037390765
